"Alpha","Fold","Lambda","MAE","RMSE","R2"
0,1,1014.57558141935,125.776321230677,158.206618541829,0.12013812421686
0,1,902.924618213772,125.258943597386,157.221057529522,0.131066321211869
0,1,803.560504616077,124.723468723709,156.176533818518,0.142573772926608
0,1,715.131110121055,124.167240037603,155.076067033377,0.154614567083975
0,1,636.433102081484,123.571094956861,153.924076122879,0.16712789820932
0,1,566.395570955507,122.935098336233,152.726465137214,0.180037852678901
0,1,504.065457545829,122.259906155885,151.490658145001,0.193253836773382
0,1,448.594583927009,121.546827305582,150.225570351081,0.206671736429077
0,1,399.228111579834,120.79786910495,148.94150477088,0.220175853804195
0,1,355.294269672978,120.0157612707,147.649967907085,0.233641607638129
0,1,316.195213716086,119.20395370508,146.363403730553,0.246938916026852
0,1,281.398890190334,118.366584724712,145.094852544823,0.259936108841309
0,1,250.431796451709,117.508472875828,143.85761720716,0.272503465212098
0,1,222.872537384956,116.634830527116,142.664611575558,0.284519633953286
0,1,198.346091128197,115.751401104481,141.52817411783,0.295872977847125
0,1,176.518705837153,114.864160546109,140.459492406899,0.306466580875739
0,1,157.093358044976,113.979194729544,139.468261634066,0.316220652489853
0,1,139.805710815793,113.277993414268,138.562392097244,0.325074326756525
0,1,124.420516691185,113.085249307664,137.74781720809,0.332986452009044
0,1,110.728416481486,112.911893670095,137.02841130994,0.339935388720376
0,1,98.5430903403902,112.747692509681,136.406015359199,0.345917922448998
0,1,87.6987223551414,112.594275773575,135.880558154319,0.350947468419029
0,1,78.0477441508835,112.453037196317,135.450252824129,0.355051786799234
0,1,69.4588268045008,112.394357355716,135.11184371446,0.358270440143528
0,1,61.8150937422454,112.550942301224,134.860877934943,0.360652208910449
0,1,55.0125303025558,112.708869655705,134.691978255718,0.362252643638571
0,1,48.9585683216614,112.872341026824,134.605863463051,0.363067865536701
0,1,43.5708264812431,113.033524794308,134.584470118759,0.36327030880733
0,1,38.7759892770118,113.225289079118,134.625932583658,0.362877924022794
0,1,34.5088093533919,113.433412854665,134.723544883654,0.361953681624566
0,1,30.7112196282441,113.642808696756,134.870458035986,0.360561371091725
0,1,27.3315431255683,113.852510565565,135.059923211074,0.358763550429144
0,1,24.3237897637187,114.06147425931,135.285372195563,0.356620993828626
0,1,21.6470305299413,114.268610996949,135.540479331779,0.354192271146844
0,1,19.2648405251046,114.472822068558,135.819214395661,0.351533370258276
0,1,17.1448032996662,114.673032776808,136.115889614349,0.348697334194155
0,1,15.2580697359626,114.868223914134,136.425202092064,0.345733904454266
0,1,13.5789654741639,115.085496557793,136.742271448654,0.342689176733909
0,1,12.0846415398102,115.366295802983,137.062671497293,0.339605285437005
0,1,10.7547634187279,115.631656173977,137.382454349003,0.336520138187584
0,1,9.57123434830684,115.881479319274,137.698165389195,0.333467221399254
0,2,95712.3434830683,121.842271840467,152.037033255472,-0.00484203616756029
0,2,85179.4905973343,121.839248187751,152.027787254507,-0.00471982268138516
0,2,75805.7462014279,121.835852692603,152.017406257105,-0.00458261568838303
0,2,67463.5539242722,121.832039909765,152.00575208788,-0.00442859218119884
0,2,60039.394586257,121.827758913769,151.992670051084,-0.00425571179752371
0,2,53432.2414489247,121.822952657433,151.977987034372,-0.0040616920311658
0,2,47552.1854597398,121.817557260308,151.961509415751,-0.0038439809130304
0,2,42319.2117844982,121.811501220802,151.943020758928,-0.00359972698467637
0,2,37662.110978632,121.804704545143,151.922279282594,-0.00332574639518635
0,2,33517.5099808067,121.797077788527,151.899015091897,-0.00301848699342644
0,2,29829.0097427323,121.788520997536,151.872927157929,-0.00267398926195384
0,2,26546.4177601956,121.778922553262,151.843680041208,-0.00228784408038019
0,2,23625.0650617232,121.768157905623,151.81090035291,-0.00185514728581104
0,2,21025.1983605694,121.756088195831,151.774172957749,-0.00137045114267287
0,2,18711.439098532,121.742558763733,151.733036929704,-0.000827712943167747
0,2,16652.3020203549,121.727397539075,151.686981283269,-0.000220241125771015
0,2,14819.766727556,121.710413318678,151.635440517621,0.000459360489652227
0,2,13188.8963814564,121.691393935375,151.57779003002,0.00121924948358576
0,2,11737.4983667829,121.670104329634,151.513341478604,0.00206840143358811
0,2,10445.8222982125,121.646284541267,151.441338204539,0.00301666471015516
0,2,9296.29126037878,121.619647646833,151.360950860113,0.00407481135183962
0,2,8273.26262410027,121.589877678444,151.271273433796,0.00525458129505407
0,2,7362.81518405712,121.556627572155,151.171319916469,0.00656871652016044
0,2,6552.55972132006,121.519517208948,151.060021915424,0.00803098084821474
0,2,5831.4704128981,121.478131629032,150.936227594905,0.00965616018468241
0,2,5189.73479415388,121.432019520576,150.798702403154,0.0114600369708736
0,2,4618.62023239971,121.380692107287,150.646132135108,0.0134593314993993
0,2,4110.3550946691,121.323622584935,150.477128973972,0.0156716016265284
0,2,3658.02299261441,121.260246284577,150.29024124938,0.0181150913499132
0,2,3255.4686654324,121.189961768587,150.083967737247,0.0208085178281419
0,2,2897.21422008824,121.112133093231,149.856777396386,0.0237707858550699
0,2,2578.3845890486,121.026093495892,149.607135475074,0.0270206187712482
0,2,2294.64119116496,120.931150783225,149.333536908409,0.0305760955516657
0,2,2042.12289297532,120.826594704394,149.034547841457,0.03445408565401
0,2,1817.39346703557,120.711706586469,148.708855926738,0.0386695764763114
0,2,1617.39483230184,120.585771481507,148.3553297282,0.0432348932908083
0,2,1439.40544026699,120.448093021147,147.973087088028,0.0481588185798554
0,2,1281.00324057642,120.298011089217,147.561571653365,0.0534456269723237
0,2,1140.03272216542,120.134922301331,147.120635904045,0.0590940634318479
0,2,1014.57558141935,119.958303120484,146.650627977119,0.0650963056357891
0,2,902.924618213772,119.767735240011,146.152478386045,0.0714369658387852
0,2,803.560504616077,119.56293263538,145.627781459472,0.07809220166106
0,2,715.131110121055,119.343769435227,145.078865101864,0.0850290173606202
0,2,636.433102081484,119.110307507122,144.50884148217,0.0922048449409059
0,2,566.395570955507,118.862822418533,143.921630707502,0.0995674953279488
0,2,504.065457545829,118.601831423757,143.321946146188,0.107055605338738
0,2,448.594583927009,118.328099478437,142.715258356998,0.114599346886043
0,2,399.228111579834,118.153843598754,142.107670520825,0.122122207942563
0,2,355.294269672978,117.986714949906,141.505789684323,0.129542762735845
0,2,316.195213716086,117.816039817074,140.916531758586,0.136777178647636
0,2,281.398890190334,117.643025891109,140.346894064291,0.143742016401877
0,2,250.431796451709,117.469005721773,139.803703724137,0.150357210834926
0,2,222.872537384956,117.295416961751,139.293358678881,0.156549028944046
0,2,198.346091128197,117.123779024782,138.821580784974,0.162252784799337
0,2,176.518705837153,116.955667210217,138.393201028005,0.167415097956678
0,2,157.093358044976,116.792685535265,138.011995020633,0.171995514355165
0,2,139.805710815793,116.636439598525,137.680582723874,0.175967363219392
0,2,124.420516691185,116.488510754199,137.400400256921,0.179317793185497
0,2,110.728416481486,116.350432704731,137.171744624074,0.182047006006141
0,2,98.5430903403902,116.223671343017,136.993885251268,0.184166776232844
0,2,87.6987223551414,116.109608336058,136.86523040653,0.185698400957057
0,2,78.0477441508835,116.009528590614,136.783532636345,0.186670258734558
0,2,69.4588268045008,115.924611423555,136.746115642613,0.187115168891142
