"Alpha","Fold","Lambda","MAE","RMSE","R2"
0.25,4,0.793384364512787,118.518296404373,136.719312508148,0.304329884022566
0.25,4,0.706074823348611,118.522170342581,136.726443370561,0.304257314066515
0.25,4,0.628373432179904,118.526649912016,136.732906107507,0.304191540275911
0.25,4,0.559222843263172,118.529088750357,136.738785832127,0.304131697327915
0.25,4,0.497682066764738,118.532406680668,136.744041407337,0.304078204700182
0.25,4,0.442913665925944,118.537782416101,136.750048869337,0.304017056652617
0.25,4,0.394172361361561,118.544389147051,136.756154872937,0.303954902828634
0.25,4,0.350794889420565,118.550307092413,136.761310666632,0.303902419156885
0.25,4,0.312190976603534,118.555624547704,136.765832487661,0.303856387414438
0.25,4,0.277835307218003,118.560391866156,136.769852976653,0.303815457910051
0.25,4,0.247260374968981,118.564655146033,136.773443912303,0.303778900340456
0.25,5,382.849373932273,125.926035574146,163.376405493285,-0.00648805690078103
0.25,5,340.717962389337,124.736409427226,160.697454591623,0.0262489303022569
0.25,5,303.222984805712,123.519181782899,158.053921282189,0.0580225583656921
0.25,5,269.854215697089,122.281897943329,155.473123296253,0.0885337361262528
0.25,5,240.157578345028,121.032628627251,152.981537794879,0.117513649616849
0.25,5,213.728965795699,119.802617946372,150.60374888477,0.144733389402253
0.25,5,190.208741838959,118.63522400046,148.361455023768,0.170011413567476
0.25,5,169.276847137993,117.49495060608,146.272618614665,0.193218325360178
0.25,5,150.648443914528,116.384361624003,144.350830309488,0.214278702833983
0.25,5,134.070039923227,115.311828937284,142.604940318306,0.233170000466417
0.25,5,119.316038970929,114.386493109278,141.03898098234,0.249918808828344
0.25,5,106.185671040782,113.525738116087,139.652373486102,0.264594972022053
0.25,5,94.5002602468927,112.732962963485,138.440382134194,0.277304199377607
0.25,5,84.1007934422775,112.087054093807,137.394756933534,0.288179858446624
0.25,5,74.845756394128,111.539119801394,136.504492500053,0.297374606169554
0.25,5,66.6092080814196,111.086161667055,135.756629466455,0.305052421270105
0.25,5,59.2790669102242,110.672871305837,135.137032287258,0.311381466917868
0.25,5,52.7555855258255,110.377018537689,134.631091722429,0.316528063004716
0.25,5,46.9499934671316,110.107705887422,134.224317807617,0.320651903193093
0.25,5,41.7832891928501,109.942008940802,133.902806535446,0.323902528459058
0.25,5,37.1851650415151,109.794021375991,133.653578396816,0.326416974647292
0.25,5,33.093050496401,109.653121655464,133.45678173451,0.328399133304958
0.25,5,29.4512607362285,109.533282518032,133.322352905463,0.32975143697771
0.25,5,26.2102388852802,109.423564183237,133.22009471384,0.330779203440492
0.25,5,23.3258816515924,109.323324310826,133.149926816851,0.331483983744425
0.25,5,20.7589391766155,109.236486206028,133.106429759757,0.331920690401092
0.25,5,18.4744809295988,109.174576766646,133.098094391024,0.332004360484315
0.25,5,16.4414203786764,109.099566883589,133.105953322504,0.331925472999525
0.25,5,14.6320919704577,108.997534307809,133.131414949498,0.331669858717532
0.25,5,13.0218746617296,108.904494658655,133.190840328078,0.331073085438009
0.25,5,11.588856880353,108.840431163502,133.261237491582,0.330365784516017
0.25,5,10.3135383561944,108.779880817349,133.332292349059,0.329651496555546
0.25,5,9.17856476465982,108.711463688431,133.374931653258,0.329222676745022
0.25,5,8.1684915719013,108.72841422541,133.551700356846,0.327443466642287
0.25,5,7.26957386814228,108.846747089384,133.807643936386,0.3248631704628
0.25,5,6.46957932920735,108.977340044925,134.074231926427,0.322170309912304
0.25,5,5.75762176106797,109.048595621648,134.248154919143,0.320410588734646
0.25,5,5.12401296230569,109.099227985467,134.382216830253,0.319052617809387
