"Alpha","Lambda","Mean_MAE","SD_MAE","Mean_RMSE","SD_RMSE","Mean_R2","SD_R2"
0.5,4.58928238232991,115.893421016724,6.11458627519918,137.272588783473,5.18502195170293,0.288242338504773,0.075242725014812
0.75,35.3952236802607,115.578393191766,5.91543900271725,137.272713951003,5.33339906322613,0.288331077345862,0.0735672121333765
0.25,52.7555855258255,115.590554676563,5.87060077063846,137.316245200696,5.16709000534243,0.288004707754569,0.0717065468139206
0.75,3.05952158821994,115.940093955032,6.12135996478497,137.365732921225,5.17863867872654,0.287286979471599,0.0752005578395816
0.25,7.26957386814228,116.036439882026,6.13258858798075,137.466237977964,5.16805822320856,0.286323819581342,0.0743133406237749
0.5,4.08424578595065,116.029721924054,6.14304808222154,137.496517056784,5.18377317388641,0.285984619958092,0.0746940594671831
0.75,2.7228305239671,116.096047588366,6.1343460735128,137.601033157633,5.1716523249963,0.284914299941885,0.0745725694994061
0.25,59.2790669102242,115.75243724642,5.84193497834258,137.684307680535,5.1667290168342,0.284275310067622,0.0707831767594848
0.25,6.46957932920735,116.175948055903,6.12848472247752,137.685542651946,5.15104165603683,0.28408401234088,0.0740260812546937
0.5,47.2501301234464,115.765219512557,5.85037312499825,137.705618024901,5.22955025602663,0.28401421895362,0.0714140183207659
0.5,3.63478693407114,116.183537353408,6.14424340868115,137.721590265064,5.17433842715844,0.283702869547303,0.074209386361755
0.75,2.42319128938076,116.246641468207,6.14840269086914,137.812391380298,5.17964505600902,0.282771036075593,0.0741729140749934
0.75,39.7720129903098,115.819070386731,5.82827999075097,137.821568059928,5.22777382886748,0.2828347233155,0.0711160840089955
0.25,5.75762176106797,116.320470777282,6.11175003429204,137.883673194262,5.11907950274416,0.282053839910548,0.0737822558933377
0.5,3.23478966460367,116.327234783237,6.1378553331862,137.915402567842,5.16030935977305,0.281715856261839,0.0740316829529867
0.75,2.15652644306912,116.387218524835,6.14406779917321,138.004856948069,5.1685653914576,0.280795241333075,0.0740219746698845
0.25,5.12401296230569,116.479584365062,6.10334646116808,138.08313881691,5.10281668687364,0.280011993767329,0.0735295629366649
0.5,2.87881088053398,116.481330194436,6.12980119801196,138.114601815975,5.14342854871555,0.279675588889632,0.0737821742513185
0.25,66.6092080814196,115.968787864851,5.76317005676753,138.177224819773,5.12157366510688,0.279284259797384,0.0691650039609699
0.75,1.91920725368932,116.550387732398,6.14089420311199,138.212363613271,5.16089336518616,0.2786730896197,0.073735914709229
0.25,4.56013088866168,116.623205718415,6.0994022560114,138.273681555171,5.09226913290601,0.27805969384208,0.0732904339057583
0.5,2.56200648115284,116.635260264164,6.11941804698078,138.308447495303,5.1216648123764,0.277694285065622,0.0734383238928319
0.5,53.0928355203911,116.036256536619,5.73513320882629,138.320407521119,5.12703037001064,0.27781704008866,0.0688679069130323
0.75,1.70800432076856,116.701848027525,6.124814583669,138.396920401225,5.13727997649721,0.276784499186042,0.0734104551987598
0.25,4.05830232567741,116.751922697654,6.08924900023641,138.448797710938,5.07281235791144,0.276264345949021,0.0730183280174406
0.5,2.28006544433084,116.780847497488,6.11330225493438,138.495084287989,5.11640111960466,0.275782040842935,0.0731772531680495
0.75,44.6900133077423,116.133169223019,5.69516935983234,138.522373743826,5.12236022543807,0.275753945132068,0.0683230716405824
0.75,1.52004362955389,116.844981665653,6.11673640713511,138.578577611999,5.12984372031811,0.274923055937407,0.0731360608889046
0.25,3.61169847285509,116.876041593672,6.08239103547199,138.6134278143,5.06544644063419,0.274573125451984,0.0728134369515586
0.5,2.02915116283871,116.909570187924,6.09952638044209,138.662076590118,5.10031805175147,0.274069529059544,0.0728941053542306
0.75,1.35276744189247,116.970760766381,6.10471497463447,138.741074929574,5.11420980665596,0.273256319260575,0.0728514184550765
0.25,3.21424201846431,116.987853936178,6.07903604863878,138.761845911809,5.07034444618553,0.273042241456794,0.072722602230221
0.25,74.845756394128,116.289992891421,5.61980427155106,138.815228512852,5.02719954849248,0.272814795951677,0.0666665225547125
0.5,1.80584923642754,117.028582356196,6.09088427895067,138.817261058809,5.09513010679248,0.272474352212242,0.0726855286971022
0.75,1.2038994909517,117.084730257643,6.0969935439453,138.892073450613,5.11022733336848,0.271703623676749,0.072647177235942
0.25,2.86052444048422,117.111089889898,6.07880298455433,138.930785237078,5.07330018944326,0.271316470301747,0.0723635127916285
0.5,1.60712100923215,117.147287885314,6.09215445586185,138.976735400632,5.10709092145093,0.270836396812141,0.072480970520256
0.75,1.07141400615477,117.199752250253,6.0933992522425,139.048919687224,5.11345650625829,0.270095842504103,0.0723647625151922
0.5,59.6580194854646,116.415742273245,5.58264423995754,139.079730010451,5.02860686633952,0.270096916625661,0.0660173053202518
0.25,2.54573240832593,117.217833420856,6.09000334202149,139.086406670531,5.0834600928633,0.269720953025616,0.0720982495820315
0.5,1.43026222024211,117.259079513003,6.08882049650239,139.134276849508,5.10685169329722,0.269224396560865,0.0721284346006692
0.75,0.953508146828073,117.308234619713,6.09408755135561,139.204169588204,5.11948282683629,0.268506122594593,0.0720405494830092
0.25,2.26558228382203,117.314977050049,6.11197206623258,139.234866510355,5.11280975332233,0.268182114603705,0.0721152942981492
0.5,1.27286620416297,117.359242880578,6.09369426481682,139.287805189756,5.11194381044742,0.267643832017152,0.0718988559658589
0.75,0.848577469441978,117.405900292748,6.10026807658965,139.357103406821,5.12687860999413,0.2669262196767,0.0718821999049453
0.25,2.01626183018332,117.408440261852,6.12917530565383,139.378532806387,5.13697772231747,0.266674042724343,0.0723567027891401
0.75,50.2161479715093,116.586516634368,5.52583836257753,139.409880082905,5.02519804024373,0.266701170235724,0.0651519549048795
0.5,1.13279114191101,117.447306484507,6.10976729140746,139.428948636713,5.13657225977077,0.266179287985047,0.0718906624308332
0.75,0.755194094607342,117.489391435607,6.11767490620574,139.492491645638,5.15280387884879,0.265522773846308,0.0718541453249084
0.25,1.79437833570804,117.503205130679,6.14639187565,139.520015537866,5.16512163308496,0.265173753448348,0.0727930588324785
0.25,84.1007934422775,116.666102343005,5.48013019753362,139.569303652423,4.9394318237934,0.265107382896576,0.0639393093119724
0.5,1.00813091509166,117.539380830913,6.12299702282742,139.572424729633,5.15945529182059,0.264667921053649,0.072163883182413
0.75,0.672087276727772,117.578996037719,6.13158867058262,139.632511812972,5.17630541925449,0.26404524860216,0.0721511338917333
0.25,1.59691244631933,117.58904841507,6.16726545661275,139.650636126594,5.19624223220013,0.263784224569123,0.0732546033699554
0.5,0.897189167854018,117.630080768711,6.13247372604645,139.708697252682,5.17790731293715,0.263219555200247,0.0725678763966179
0.75,0.598126111902678,117.667234345444,6.14050597376975,139.765398207773,5.19445085561717,0.262630540937603,0.072569309808206
0.25,1.42117707869191,117.703461994884,6.18401946499928,139.812446665622,5.22963162449725,0.261992580000835,0.0747300932590539
0.5,0.798456223159667,117.709345918665,6.14607853409017,139.830265720828,5.20212756322447,0.261918545503103,0.0730600050288752
0.75,0.532304148773111,117.745638848956,6.15123360767403,139.886125124933,5.21602834988609,0.261336414551053,0.0730699183955357
0.25,1.26478085486434,117.838140126397,6.19830007178264,139.997294799863,5.26464003808301,0.259910024900081,0.0768307412786191
0.5,67.0350199616135,116.882349365338,5.40762405582666,140.008446374486,4.94203211737348,0.260566999698321,0.0628404957824839
