"Alpha","Fold","Lambda","MAE","RMSE","R2"
1,2,0.198346091128197,124.033184738169,150.981184065773,0.00906612298547171
1,2,0.176518705837153,125.472368762143,153.530517884005,-0.0246804530686753
1,2,0.157093358044976,126.900825406007,155.874854311764,-0.0562121111014109
1,2,0.139805710815793,128.229167444117,158.126876199566,-0.0869520974727012
1,2,0.124420516691184,129.513821704124,160.243084465266,-0.116240083725807
1,2,0.110728416481486,130.745440855273,162.169914725696,-0.143245757905747
1,2,0.0985430903403902,131.974931893002,163.933599282529,-0.16824779600994
1,2,0.0876987223551414,133.089899663045,165.530810285133,-0.191123255265368
1,2,0.0780477441508835,134.178041049902,167.104883198208,-0.213884327487286
1,3,95.7123434830683,133.178999757044,164.36053808797,0.0473991761796836
1,3,85.1794905973343,130.76171045581,160.052294797975,0.0966841000028756
1,3,75.8057462014279,128.68787140872,156.603119144132,0.135198051008428
1,3,67.4635539242722,127.197971428689,153.859134258305,0.165238496180412
1,3,60.039394586257,126.218064626602,151.689164119342,0.188618763423038
1,3,53.4322414489247,125.573745399462,149.982918412612,0.206769428243094
1,3,47.5521854597398,125.077697210229,148.648791886969,0.22081853732653
1,3,42.3192117844982,124.708775989268,147.611498960865,0.231655078988921
1,3,37.662110978632,124.415966653394,146.809722999443,0.239979192351605
1,3,33.5175099808067,124.272968304669,146.193905873793,0.246341880024652
1,3,29.8290097427323,124.14926230965,145.724252332897,0.25117641331647
1,3,26.5464177601955,124.039169783899,145.368982767943,0.25482316305803
1,3,23.6250650617232,123.962612625384,145.102838963622,0.257549228095877
1,3,21.0251983605694,123.91603701187,144.905829189152,0.259563947627246
1,3,18.711439098532,123.879351369137,144.762189070456,0.261031157185057
1,3,16.6523020203549,123.898963332589,144.659530594171,0.262078868845868
1,3,14.819766727556,123.922775099956,144.588151213284,0.262806914322083
1,3,13.1888963814564,123.943966454599,144.540476778455,0.263292977243224
1,3,11.7374983667829,123.962825764985,144.510614829889,0.263597351978549
1,3,10.4458222982125,123.972183958768,144.488012486365,0.263827689715292
1,3,9.29629126037878,123.873888810568,144.397265655591,0.264752116927136
1,3,8.27326262410026,123.821934975057,144.362630158662,0.265104791495452
1,3,7.36281518405712,123.799710160026,144.378035975934,0.264947932821073
1,3,6.55255972132006,123.771155936299,144.410955113111,0.264612701243267
1,3,5.83147041289811,123.767252091966,144.463431995629,0.264078145613033
1,3,5.18973479415389,123.808805762242,144.526160227833,0.263438909805256
1,3,4.61862023239971,123.879126903832,144.600431447425,0.262681685690751
1,3,4.1103550946691,123.957932120851,144.68142320949,0.261855499589307
1,3,3.65802299261441,124.136724391172,144.879517436528,0.259832817438532
1,3,3.2554686654324,124.367514633517,145.176083498126,0.256799495195212
1,3,2.89721422008824,124.592652967185,145.493002830094,0.253551140675707
1,3,2.5783845890486,124.84425469698,145.826347988857,0.25012678135211
1,3,2.29464119116496,125.080246014313,146.133557530618,0.246963966577149
1,3,2.04212289297532,125.313968203041,146.445952089346,0.243740945004466
1,3,1.81739346703557,125.521823954502,146.736378484086,0.240738398653161
1,3,1.61739483230184,125.666856687614,146.945388579155,0.238573886187112
1,3,1.43940544026699,125.827722925823,147.174799286225,0.23619455793125
1,3,1.28100324057642,125.941293613291,147.334853588462,0.234532360027744
1,3,1.14003272216542,126.058715258897,147.510261394837,0.232708637771825
1,3,1.01457558141935,126.148455538308,147.64182150586,0.231339377751901
1,3,0.902924618213772,126.237876758221,147.775336909943,0.229948519297165
1,3,0.803560504616077,126.334311970988,147.921111354887,0.228428520135247
1,3,0.715131110121055,126.425352212364,148.061366472302,0.226964656704635
1,3,0.636433102081484,126.50855150526,148.191995564448,0.225600013741175
1,3,0.566395570955507,126.601882493419,148.34188528489,0.22403267808047
1,3,0.504065457545829,126.667826334095,148.45113954264,0.22288925249756
1,3,0.448594583927009,126.731991383237,148.557002932615,0.221780511780928
1,3,0.399228111579834,126.790617243808,148.655385601696,0.220749410438
